budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8444001082582876
20,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
30,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
40,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
50,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
60,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
70,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
80,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
90,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
100,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
110,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
120,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8664255716822219
130,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8444001082582876
140,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8444001082582876
150,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8444001082582876
160,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8495950668320587
170,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8495950668320587
180,commun_fraction,3,0.5,rbf_svm,0.4,2,0.8495950668320587
